,collocate,raw_frequency,MI
175,AUSTRIA,1,10.707726916319535
176,JOSEF,1,11.40087409687948
177,DRIVER,1,8.835924739417944
178,CHATTING,1,10.01457973575959
179,LOVED,1,6.815906618208908
180,IDLE,1,8.105037230875151
181,STUPIDLY,1,9.609114627651426
182,MODEST,1,8.69282389577727
183,JEALOUSY,1,8.761816767264222
184,DESERVING,1,10.707726916319535
185,TITLE,1,7.572232700390385
186,TOILING,1,10.30226180821137
187,UPWARD,1,8.567660752823263
188,SNOW,1,8.105037230875151
189,CAUGHT,1,6.934965978224897
190,ILLUMINATION,1,9.321432555199644
191,FLANK,1,10.707726916319535
192,GUIDE,1,8.222820266531535
193,BETTERS,1,11.40087409687948
194,RINGINGLY,1,11.40087409687948
195,ELSEWHERE,1,8.142777558857999
196,FRACTION,1,9.791436184445379
197,FATALISM,1,10.30226180821137
198,GUIDES,1,9.791436184445379
199,INNS,1,9.791436184445379
200,FLOWER,1,7.9996767152173245
201,MANAGER,1,9.098289003885434
202,JOLTINGS,1,11.40087409687948
203,GRINDING,1,9.609114627651426
204,DEFIANTLY,1,10.01457973575959
205,BLAZON,1,11.40087409687948
206,REEKING,1,10.707726916319535
207,TY,1,10.30226180821137
208,COMPOSED,1,8.222820266531535
209,LIBRARY,1,8.91596744709148
210,LEARNT,1,7.874513572263319
211,REMEMBERING,1,8.835924739417944
212,CHANCED,1,8.761816767264222
213,HERD,1,10.30226180821137
214,HAT,1,7.616684462961219
215,SOILED,1,9.609114627651426
216,GARMENTS,1,8.510502338983315
217,TATTERED,1,10.01457973575959
218,KNAPSACK,1,10.01457973575959
219,FIGHT,1,7.59421160710916
220,MEASURING,1,10.30226180821137
221,SUSPICION,1,8.068669586704276
222,DAINTY,1,9.098289003885434
223,CIRCLE,1,8.068669586704276
224,ANIMATE,1,10.01457973575959
225,EXCELLENT,1,7.789956184235256
226,PURSE,1,8.356351659156058
227,BUTCHER,1,9.454963947824167
228,MEAT,1,8.761816767264222
229,PERIODICALLY,1,11.40087409687948
230,DESCENDING,1,9.20364951954326
231,OUTLINES,1,8.91596744709148
232,CHISELLED,1,10.707726916319535
233,CONSTITUTE,1,11.40087409687948
234,MOODS,1,8.69282389577727
235,PELTING,1,10.01457973575959
236,ABREAST,1,11.40087409687948
237,REVELLERS,1,10.30226180821137
238,STROLLING,1,9.321432555199644
239,PITS,1,10.30226180821137
240,BEDWARD,1,11.40087409687948
241,PROLONGED,1,9.00297882408111
242,SONS,1,8.761816767264222
243,SMOKE,1,7.430582183327358
244,TAKES,1,8.033578266893006
245,PRECIPITATED,1,10.30226180821137
246,PAIR,1,7.290000232706169
247,EASY,1,7.306529534657379
248,JUMP,1,8.69282389577727
249,PASS,1,7.290000232706169
250,OCCUPIED,1,7.737312450749833
251,INJURY,1,7.935138194079753
252,ABRANE,1,7.226486826983843
253,MESSAGE,1,8.18199827201128
254,MAID,1,7.35782282904493
255,HESITATE,1,10.01457973575959
256,CLOSE,1,6.390238802783224
257,BLOCK,1,8.91596744709148
258,BRUISED,1,9.609114627651426
259,CAMP,1,9.791436184445379
260,SUIT,1,7.845526035390066
261,CLOTHES,1,7.789956184235256
262,FOLLOWED,1,6.87908551983044
263,OWED,1,9.098289003885434
264,TROT,1,8.628285374639699
265,MISTAKEN,1,8.309831643521164
266,MADAME,1,9.454963947824167
267,CLEMENCE,1,10.30226180821137
268,FLYMAN,1,11.40087409687948
269,ADMIRAL,1,6.9235372824012735
270,BARE,1,7.9996767152173245
271,SHAFTS,1,9.609114627651426
272,HEADS,1,7.59421160710916
273,HIGH,1,6.417267475171143
274,PRACTISED,1,8.761816767264222
275,PLIGHTED,1,10.01457973575959
276,LIKENESS,1,8.309831643521164
277,PRINCELING,1,10.707726916319535
278,UNIFORM,1,9.20364951954326
279,FRESH,1,7.550726495169421
280,SYLLABLE,1,9.791436184445379
281,REINS,1,9.20364951954326
282,SOUNDED,1,7.904366535413
283,WHIP,1,8.45643511771304
284,ASKANT,1,11.40087409687948
285,ROCKS,1,9.00297882408111
286,THINKS,1,7.737312450749833
287,STROKE,1,7.9996767152173245
288,DIFFERENT,1,7.138194219838165
289,DEGREE,1,7.904366535413
290,NATURE,1,5.93704229185387
291,KEEN,1,8.033578266893006
292,BLADE,1,9.454963947824167
293,EFFORTS,1,8.405141823325488
294,IMPOSTURE,1,10.30226180821137
295,HAILED,1,9.321432555199644
296,MALLARD,1,7.5090537987688535
297,PROBLEMS,1,9.454963947824167
298,HEROICALLY,1,11.40087409687948
299,STEPPING,1,9.098289003885434
300,FACELESS,1,10.707726916319535
301,COMFORTABLY,1,8.405141823325488
302,CUSHIONED,1,10.30226180821137
303,SALUTED,1,9.098289003885434
304,FAMILIAR,1,7.763287937153094
305,JEWEL,1,8.835924739417944
306,BLUE,1,7.006424942207041
307,COACHES,1,10.30226180821137
308,FORTH,1,7.488851091451334
309,CURRICLES,1,11.40087409687948
310,GIGS,1,10.30226180821137
311,PONY,1,10.30226180821137
312,TRAPS,1,10.707726916319535
313,BOYS,1,7.9996767152173245
314,COLOURS,1,8.45643511771304
315,UNWOUND,1,11.40087409687948
316,SKILLED,1,10.30226180821137
317,COOK,1,8.69282389577727
318,JOINT,1,9.791436184445379
319,WET,1,8.18199827201128
320,CHALK,1,8.835924739417944
321,HELPS,1,9.609114627651426
322,MANKIND,1,8.405141823325488
323,RICHNESS,1,10.01457973575959
324,MUSIC,1,6.868274603726224
325,BEGAT,1,11.40087409687948
326,FRENZY,1,9.791436184445379
327,WREAK,1,11.40087409687948
328,MATCHES,1,9.791436184445379
329,MADGE,1,6.270975381956407
330,DRIVES,1,9.098289003885434
331,SOLITUDES,1,9.609114627651426
332,IMAGINABLE,1,9.454963947824167
333,HERO,1,8.356351659156058
334,VIRGIN,1,9.791436184445379
335,CONFIDE,1,10.707726916319535
336,IMPORTANT,1,8.405141823325488
337,ACCEPT,1,7.737312450749833
338,SEAT,1,7.6632044785961115
339,DELIVERED,1,9.00297882408111
340,REPROACH,1,8.356351659156058
341,PRESENTABLE,1,10.707726916319535
342,PROFITLESS,1,10.707726916319535
343,RELIGIOUS,1,8.068669586704276
344,TEAR,1,8.567660752823263
345,RECENTLY,1,8.91596744709148
346,LATER,1,7.306529534657379
347,ROVING,1,10.01457973575959
348,ADVENTURER,1,9.609114627651426
349,VAGABOND,1,9.454963947824167
350,ESPOUSED,1,11.40087409687948
351,SON,1,7.306529534657379
352,DONG,1,11.40087409687948
353,NOBILITY,1,9.098289003885434
354,GENTRY,1,10.30226180821137
355,NEWLY,1,8.356351659156058
356,ESTABLISHED,1,8.510502338983315
357,DOORS,1,7.789956184235256
358,INFORMANT,1,10.707726916319535
359,STAMP,1,8.835924739417944
360,POVERTY,1,7.616684462961219
361,AMBIGUOUSLY,1,11.40087409687948
362,ESCAPE,1,7.488851091451334
363,SCORCHING,1,10.30226180821137
364,IMPRESSION,1,7.572232700390385
365,PIRATE,1,9.791436184445379
366,CRAFT,1,8.45643511771304
367,GUNS,1,9.098289003885434
368,HUSTLED,1,10.707726916319535
369,PROMISE,1,7.375522406144331
370,GROWTH,1,9.00297882408111
371,TERM,1,8.510502338983315
372,HOTEL,1,7.375522406144331
373,LIVE,1,6.319469731895017
374,UNWORRIED,1,11.40087409687948
375,COUNTING,1,8.69282389577727
376,HACK,1,9.454963947824167
377,AMAZING,1,8.91596744709148
378,PROMISED,1,7.449630378298052
379,FRUIT,1,8.510502338983315
380,NIGHTS,1,8.033578266893006
381,AMAZONS,1,11.40087409687948
382,MATE,1,8.69282389577727
383,ELECTRICAL,1,10.30226180821137
384,HEROINE,1,9.00297882408111
385,ERASING,1,11.40087409687948
386,STAIN,1,9.20364951954326
387,MANAGED,1,8.142777558857999
388,CLIMB,1,9.098289003885434
389,LAMB,1,9.609114627651426
390,PITCHES,1,11.40087409687948
391,KNOWLEDGE,1,7.166767592282221
392,ULTIMATELY,1,8.69282389577727
393,DEPOSITING,1,10.30226180821137
394,INFANT,1,8.033578266893006
395,SUBMIT,1,9.098289003885434
