,collocate,raw_frequency,MI
179,LOOKED,1,2.7484509562031385
180,INTERESTING,1,5.8537454322686555
181,SAY,1,2.3749374479015763
182,NOODLES,1,7.411890050315206
183,HOLLOWS,1,7.699572122766987
184,OPALINE,1,8.105037230875151
185,AFAR,1,7.006424942207041
186,CINDER,1,8.798184411435097
187,TIMES,1,4.079685540140002
188,CAN,1,1.9544344624288716
189,NUMBER,1,4.90636411332447
190,NOBLE,1,4.846940692853669
191,RAKES,1,8.798184411435097
192,BLACKLEGS,1,8.798184411435097
193,DIM,1,5.5023475454307675
194,RELIGIOUS,1,5.465979901259892
195,FAITH,1,4.623797141539459
196,DYSPEPTIC,1,8.105037230875151
197,SOUR,1,8.105037230875151
198,SAVAGE,1,4.991521921664776
199,OLD,1,2.349295017288239
200,DOG,1,4.720646967529377
201,TYPE,1,5.662690195505946
202,MUCH,1,2.402922813319647
203,MET,1,3.81457778972676
204,DEEP,1,4.203064561300506
205,DENSE,1,6.025595689195315
206,CANDIDLY,1,8.105037230875151
207,GRAVE,1,4.549689169385737
208,LOOK,1,2.7320763213313484
209,QUITE,1,3.0082242405378428
210,UNHAPPY,1,5.242836349945683
211,DANCED,1,6.400289138636726
212,NOTICED,1,4.88616140600695
213,OFTEN,1,3.8929096329966666
214,RESTED,1,5.465979901259892
215,LUCIO,1,3.0174408956427667
216,FEMALES,1,7.699572122766987
217,REPULSIVE,1,6.495599318441051
218,STOCKINGS,1,8.105037230875151
219,UPSET,1,6.495599318441051
220,COURT,1,5.084612344730789
221,YARD,1,5.8537454322686555
222,PAVED,1,8.105037230875151
223,TILES,1,7.699572122766987
224,HAVING,1,3.203473031833257
225,LURKING,1,7.188746499000996
226,TOOK,1,3.218454585448874
227,GAMBLING,1,5.9649710673788805
228,BLUEST,1,8.105037230875151
229,DOES,1,3.504879586710604
230,STOOPING,1,7.006424942207041
231,GATHERED,1,5.396987029772941
232,SOME,1,2.1236230196206702
233,GRASS,1,4.755133143600546
234,SEE,1,2.1648659781547193
235,SEIZING,1,7.188746499000996
236,HANDS,1,3.475174432296688
237,COSTUMES,1,7.411890050315206
238,STOOD,1,3.0021266606697243
239,LETTERS,1,5.060514793151728
240,GOLD,1,4.32084759695689
241,FORMING,1,6.159127081819838
242,LAND,1,4.332276292780513
243,LAKE,1,5.662690195505946
244,DENSELY,1,7.699572122766987
245,APPARENTLY,1,4.687310547261785
246,THOUGHT,1,2.493735609013115
247,LAUGHED,1,3.780904574620172
248,OUTRIGHT,1,7.411890050315206
249,TWINKLED,1,6.852274262379783
250,COLOURS,1,5.8537454322686555
251,ROBES,1,7.188746499000996
252,SAINTS,1,5.707141958076781
253,O,1,3.767746490042661
254,GROUND,1,4.144224061277573
255,RARE,1,5.465979901259892
256,DIAMOND,1,6.7187428697552605
