,collocate,raw_frequency,MI
182,UP,1,2.2156464257183726
183,BEARING,1,5.215008467322942
184,US,1,3.0077335541332215
185,DIRT,1,7.612903740121313
186,NOISE,1,5.372194050845355
187,GROUNDS,1,5.6388227140993035
188,TALK,1,4.040558102263328
189,SEEM,1,4.657993461087577
190,DO,1,2.0294074313396138
191,INDULGE,1,7.430582183327358
192,READ,1,3.8563656375335618
193,SHOOT,1,6.824446379757043
194,RIDE,1,6.5832843229401545
195,LUCIO,1,3.4415981367630835
196,THREW,1,5.079206926163881
197,GUARDIAN,1,7.025117075219193
198,OTHER,1,2.8541544662049207
199,TIMES,1,4.503842781260318
200,LITTLE,1,2.560486912010102
201,ESTIMATE,1,6.331969894659248
202,ABOVE,1,4.11035386419887
203,LAMP,1,5.290516019831087
204,PAST,1,4.2665145949541525
205,MONTHS,1,5.079206926163881
206,RISING,1,5.508769585851105
207,DENSE,1,6.449752930315632
208,VOLUME,1,6.044287822207467
209,NEIGHBOURHOOD,1,6.086847436626264
210,STAYED,1,6.277902673388972
211,DRINK,1,5.196989961820264
212,SHORT,1,4.309686766819361
213,PIPES,1,7.612903740121313
214,RACING,1,6.9197565595613675
215,FAINT,1,5.161898642008993
216,AROSE,1,6.17781921483199
217,RECOMMENDED,1,7.430582183327358
218,WALKED,1,4.128591451748651
219,GREEN,1,4.700553075506373
220,AWHILE,1,6.389128308499197
221,LIGHT,1,3.5152313878065375
222,BURNING,1,5.095207267510322
223,BLUISH,2,8.816876544447249
224,TOBACCO,2,7.836047291435523
225,LONG,2,3.847063244871248
226,FLAME,2,6.226609379001422
227,LAY,2,5.002833947379306
228,ROSE,2,4.809543359214778
229,WHITE,2,4.144047709985342
230,AN,2,2.426076749606639
231,R,2,8.306050920681258
232,ALMAYER,2,3.7670205371977117
233,COLUMNS,2,7.718264255779139
234,BEHIND,2,4.733705282823274
235,NOW,2,2.814636924171308
236,WELL,2,3.2061844928570595
237,THEN,2,3.132163632511398
238,THROUGH,2,3.8681166540690803
239,HALF,2,4.0547026096494925
240,COLUMN,2,7.969578684060045
241,IS,2,1.8017627471446123
242,ROOM,2,4.077758385949418
243,LIVE,2,4.834084468130896
244,WHERE,2,3.5119146351805437
245,D,2,5.261528482957835
246,MUCH,2,3.520227234999909
247,THINK,2,3.5716083989890275
248,BUT,2,2.0622724449592864
249,MADE,2,3.7396215630095972
250,RE,2,5.261528482957835
251,MILDER,2,9.222341652555412
252,ONE,2,2.4776937114434263
253,CLOUD,2,6.003465827687212
254,WHICH,2,2.6712613175120086
255,SHE,3,1.759743864390511
