,collocate,raw_frequency,MI
179,MIXTURE,2,7.681261125611516
180,MA,2,6.50260612926987
181,SUPERSTITION,2,7.681261125611516
182,BY,3,3.067792136808729
183,HAND,3,4.285634788998816
184,HAD,3,2.3558150916752263
185,DOUGAL,3,7.0751253220412
186,WELL,3,4.0134350806954115
187,LITTLE,3,3.2806581053646986
188,HEAD,3,4.790889367715351
189,VERY,3,3.3160416092540155
190,MY,3,2.489230629581436
191,AN,3,3.1777545933999245
192,ONLY,3,4.154900600995354
193,LEO,3,5.946660070223409
194,INTO,3,3.9515596769773245
195,GREAT,4,4.3053815519336505
196,WHO,4,3.5541267405664243
197,IS,4,2.618666092584549
198,IT,5,2.3360601731646287
199,WAS,5,2.411343233585177
200,AS,5,2.7620103933171123
201,ON,6,3.4399343730407694
202,IN,6,2.359064485273536
203,OR,6,4.009188789813961
204,HIS,7,2.7319947778915523
205,BIG,7,6.2094445910534635
206,WITH,8,3.269220695133982
207,HE,8,2.4994775753194305
208,TO,10,2.322554459050695
209,I,10,2.422984808600663
210,OF,13,2.572289930794398
211,S,17,4.4934511203182055
212,AND,18,2.5292548783344007
213,A,20,3.2025048644790832
214,THE,45,3.3011808282683166
